ObjectPrice,YearModel,Milage,FirstRegistrationYear,Effect,Weight,EngineVolume,RegistrationClass_Annet,RegistrationClass_Personbil,RegistrationClass_Varebil,BodyType_Annet,BodyType_Flerbruksbil,BodyType_Kasse,BodyType_Kombi 3-dørs,BodyType_Kombi 5-dørs,BodyType_Pickup,BodyType_Stasjonsvogn,WheelDrive_Bakhjulsdrift,WheelDrive_Firehjulsdrift,WheelDrive_Forhjulsdrift
86500.0,2009.0,112.118,2008.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167800.0,2012.0,65.63,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128700.0,2011.0,54.9,2010.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88799.0,2008.0,95.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98800.0,2010.0,65.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137000.0,2012.0,120.0,1900.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147800.0,2012.0,18.055,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87800.0,2009.0,84.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88700.0,2009.0,63.0,2009.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167800.0,2012.0,18.3,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88000.0,2009.0,90.0,2009.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138700.0,2011.0,75.0,1900.0,102.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156800.0,2012.0,57.584,2011.0,102.0,1431.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
300000.0,2013.0,95.0,1900.0,140.0,,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137800.0,2012.0,21.61,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223000.0,2013.0,158.0,1900.0,140.0,,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75000.0,2009.0,141.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85000.0,2009.0,140.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275500.0,2011.0,54.815,2011.0,102.0,1562.0,1.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63800.0,2008.0,197.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197500.0,2011.0,99.0,2011.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108700.0,2009.0,57.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147800.0,2012.0,40.183,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147800.0,2012.0,44.87,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
